name - height - time
t - 850 - 0
t - 500 - 0
t - 250 - 0
t - 850 - 6
t - 500 - 6
t - 250 - 6
t - 850 - 12
t - 500 - 12
t - 250 - 12
t - 850 - 18
t - 500 - 18
t - 250 - 18
u - 850 - 0
u - 500 - 0
u - 250 - 0
u - 850 - 6
u - 500 - 6
u - 250 - 6
u - 850 - 12
u - 500 - 12
u - 250 - 12
u - 850 - 18
u - 500 - 18
u - 250 - 18
v - 850 - 0
v - 500 - 0
v - 250 - 0
v - 850 - 6
v - 500 - 6
v - 250 - 6
v - 850 - 12
v - 500 - 12
v - 250 - 12
v - 850 - 18
v - 500 - 18
v - 250 - 18
ro - 0 - 6
ro - 0 - 18
humidity - 0 - 0
humidity - 0 - 6
humidity - 0 - 12
humidity - 0 - 18
